ID_CAPTACION,CVE_PERIODO,CVE_ESTADO,CVE_MUNICIPIO,CVE_INSTITUCION,SALDO_NOMINA,SALDO_TRANS_TOTAL,SALDO_TRANS_MA,SALDO_TRANS_N1,SALDO_TRANS_N2,SALDO_TRANS_N3,SALDO_TRANS_N4,SALDO_AHORRO,SALDO_PLAZO_FIJO
2000001,202005,1,1001,40002,975926566,5866501235,4890574669,0,136892855,0,5729608380,16702,1087748946
2000002,202005,1,1001,40012,2002359864,8284881292,6282521428,0,82245821,1,8202635470,0,313302033
2000003,202005,1,1001,40014,387358785,3688937089,3301578304,0,1570129,9440812,3677926148,276,894935303
2000004,202005,1,1001,40021,286906652,2666326564,2379419912,0,0,0,2666326564,0,979653104
2000005,202005,1,1001,40030,53744464,1752123926,1698379462,0,26077,0,1752097849,0,3091140434
2000006,202005,1,1001,40036,8242102,1249282972,1241040870,0,97746,0,1249185226,0,241700955
2000007,202005,1,1001,40042,151373,25869076,25717703,0,0,0,25869076,0,48025190
2000008,202005,1,1001,40044,65532945,989318458,923785513,0,2199525,0,987118933,0,656263753
2000009,202005,1,1001,40058,1307179,821269848,819962669,0,721793,0,820548055,0,570405785
2000010,202005,1,1001,40072,2004876675,5674660574,3669783899,0,65819730,95079024,5513761820,0,14606645887
2000011,202005,1,1001,40112,0,516526487,516526487,0,0,0,516526487,0,402574025
2000012,202005,1,1001,40127,4410048,944625279,940215231,0,0,0,944625279,0,181952317
2000013,202005,1,1001,40130,0,3308230,3308230,0,3985,0,3304245,0,1688733
2000014,202005,1,1001,40131,0,36550608,36550608,0,0,0,36550608,0,207234778
2000015,202005,1,1001,40132,5722538,133193446,127470908,0,0,0,133193446,0,477164264
2000016,202005,1,1001,40136,0,88817183,88817183,0,0,0,88817183,0,41883365
2000017,202005,1,1001,40137,2980156,272369852,269389696,0,0,0,272369852,0,1522791
2000018,202005,1,1001,40143,0,27071095,27071095,0,0,0,27071095,0,150973554
2000019,202005,1,1001,40145,0,164903458,164903458,0,0,0,164903458,0,52298943
2000020,202005,1,1001,40150,0,598326,598326,0,0,0,598326,0,27475413
2000032,202005,1,1002,40002,0,605215,605215,0,605215,0,0,0,0
2000036,202005,1,1003,40002,0,637322,637322,0,637322,0,0,0,391
2000037,202005,1,1003,40012,14232802,235545578,221312776,0,1668998,0,233876580,0,5655072
2000038,202005,1,1003,40072,20218345,336920289,316701944,0,689293,1049870,335181126,0,529580686
2000039,202005,1,1003,40127,264428,43432866,43168438,0,0,0,43432866,0,347588
2000040,202005,1,1003,40137,87154,36642780,36555626,0,0,0,36642780,0,0
2000046,202005,1,1004,40002,0,71972,71972,0,71972,0,0,0,0
2000050,202005,1,1005,40002,21310353,111095280,89784927,0,2649634,0,108445646,0,43662748
2000051,202005,1,1005,40127,68372,45170119,45101747,0,0,0,45170119,0,8786895
2000052,202005,1,1005,40137,125185,30660336,30535151,0,0,0,30660336,0,100254
2000053,202005,1,1005,40150,0,146746,146746,0,0,0,146746,0,317324
2000061,202005,1,1006,40002,0,464287,464287,0,464287,0,0,0,0
2000062,202005,1,1006,40012,33762205,170898954,137136749,0,1289035,0,169609919,0,4398713
2000063,202005,1,1006,40072,39554862,255248315,215693453,0,1624250,1836627,251787438,0,188655283
2000064,202005,1,1006,40127,3227,18914724,18911497,0,0,0,18914724,0,9591484
2000065,202005,1,1006,40137,30109,21325147,21295038,0,0,0,21325147,0,0
2000071,202005,1,1007,40002,0,343964,343964,0,343964,0,0,0,0
2000072,202005,1,1007,40012,27662726,141586824,113924098,0,955473,1010,140630341,0,722911
2000073,202005,1,1007,40072,50072884,259528683,209455799,0,2562624,1733924,255232135,0,381373500
2000074,202005,1,1007,40127,139621,131922632,131783011,1972,0,0,131920660,0,37394670
2000075,202005,1,1007,40137,108852,66865522,66756670,0,0,0,66865522,0,72194
2000081,202005,1,1008,40002,0,79014,79014,0,79014,0,0,0,0
2000085,202005,1,1009,40002,13645340,78923018,65277678,0,176262,0,78746756,0,29922404
2000089,202005,1,1010,40002,0,227337,227337,0,227337,0,0,0,0
2000093,202005,1,1011,40002,0,761328,761328,0,761328,0,0,0,0
2000094,202005,1,1011,40127,47033,39093991,39046958,0,0,0,39093991,0,3393521
2000100,202005,2,2001,40002,515770888,3511566358,2995795470,0,22470652,0,3489095706,24448,450929793
2000101,202005,2,2001,40012,950943878,3613114493,2662170615,1,34010840,0,3579103652,0,35156484
2000102,202005,2,2001,40014,181906154,1365823380,1183917226,0,305257,722853,1364795270,3373,343862179
2000103,202005,2,2001,40021,89847955,930061565,840213610,0,0,0,930061565,0,439325925
2000104,202005,2,2001,40030,11447317,275199916,263752599,0,0,0,275199916,0,35666024
2000105,202005,2,2001,40036,1152844,299802789,298649945,0,21597,0,299781192,0,20864622
2000106,202005,2,2001,40044,31304243,817806855,786502612,0,35291,0,817771564,0,260848260
2000107,202005,2,2001,40058,2909981,335898296,332988315,0,778356,0,335119940,0,204580994
2000108,202005,2,2001,40062,1273721,17277531,16003810,0,0,0,17277531,0,10201338
2000109,202005,2,2001,40072,105557733,975810643,870252910,0,3479603,3399568,968931472,0,695617983
2000110,202005,2,2001,40112,0,102294773,102294773,0,0,0,102294773,0,14194612
2000111,202005,2,2001,40127,1460761,335124608,333663847,2666,0,0,335121942,0,46382787
2000112,202005,2,2001,40130,0,6524433,6524433,0,65410,0,6459023,0,4746189
2000113,202005,2,2001,40131,0,22480447,22480447,0,0,0,22480447,0,75713698
2000114,202005,2,2001,40136,0,44004883,44004883,0,0,0,44004883,0,28561457
2000115,202005,2,2001,40137,2058122,390281167,388223045,0,0,0,390281167,0,23133054
2000116,202005,2,2001,40143,0,16929894,16929894,0,0,0,16929894,0,18849386
2000117,202005,2,2001,40150,0,29478,29478,0,0,0,29478,0,6694559
2000129,202005,2,2002,40002,998091453,7164755915,6166664462,0,41464610,0,7123291305,0,1022117102
2000130,202005,2,2002,40012,3539255809,10844727208,7305471399,1416,63265289,20,10781460483,0,152749199
2000131,202005,2,2002,40014,877691868,4872665553,3994973685,0,4972884,582039,4867110630,836,1040655731
2000132,202005,2,2002,40021,451725384,4002187483,3550462099,0,0,0,4002187483,0,960396857
2000133,202005,2,2002,40030,15532767,555996400,540463633,0,1580,0,555994820,0,181656717
2000134,202005,2,2002,40036,3122177,449849133,446726956,0,81312,0,449767821,0,69818730
2000135,202005,2,2002,40044,94194396,2276675580,2182481184,0,238686,0,2276436894,0,1132008701
2000136,202005,2,2002,40058,7512426,1241892451,1234380025,0,2548373,0,1239344078,0,488286578
2000137,202005,2,2002,40072,1027330739,7175954720,6148623981,0,33629503,23618357,7118706860,0,1855377273
2000138,202005,2,2002,40112,0,125885538,125885538,0,0,0,125885538,0,58906326
2000139,202005,2,2002,40127,1527187,424413812,422886625,0,0,0,424413812,0,56277647
2000140,202005,2,2002,40128,44,371622,371578,0,0,0,371622,0,127972
2000141,202005,2,2002,40130,0,10680947,10680947,0,162014,0,10518933,0,5713068
2000142,202005,2,2002,40131,0,31433292,31433292,0,0,0,31433292,0,102920552
2000143,202005,2,2002,40136,0,121784071,121784071,0,0,0,121784071,0,145049168
2000144,202005,2,2002,40137,13381558,864566822,851185264,0,0,0,864566822,0,2450918
2000145,202005,2,2002,40143,0,9836363,9836363,0,0,0,9836363,0,25913275
2000146,202005,2,2002,40150,0,594856,594856,0,0,0,594856,0,7952058
2000147,202005,2,2002,40154,0,1487725,1487725,0,0,0,1487725,0,0
2000159,202005,2,2003,40002,72827451,582314672,509487221,0,3878635,0,578436037,0,47105155
2000160,202005,2,2003,40012,181030932,514271545,333240613,0,7097572,0,507173973,0,4045767
2000161,202005,2,2003,40021,17785940,85721526,67935586,0,0,0,85721526,0,46884112
2000162,202005,2,2003,40072,84509804,507956781,423446977,0,5215940,3815078,498925763,0,61812092
2000163,202005,2,2003,40127,184715,54810315,54625600,0,0,0,54810315,0,2580718
2000164,202005,2,2003,40130,0,1479912,1479912,0,4876,0,1475036,0,860334
2000165,202005,2,2003,40131,0,8340499,8340499,0,0,0,8340499,0,7313389
2000166,202005,2,2003,40136,0,1033240,1033240,0,0,0,1033240,0,0
2000167,202005,2,2003,40137,588399,123077037,122488638,0,0,0,123077037,0,10995
2000175,202005,2,2004,40002,1435204760,10273147229,8837942469,0,68321885,0,10204825344,640325,1117039797
2000176,202005,2,2004,40012,3330340293,13458931246,10128590953,1807,122283329,0,13336646110,0,131703060
2000177,202005,2,2004,40014,1073629632,8048349262,6974719630,0,8981752,9009084,8030358426,3776,4200480427
2000178,202005,2,2004,40021,468246201,3792094367,3323848166,0,0,0,3792094367,0,833114299
2000179,202005,2,2004,40030,28519503,845099007,816579504,0,0,0,845099007,0,104256203
2000180,202005,2,2004,40036,13955952,757536826,743580874,0,30209,0,757506617,0,125022879
2000181,202005,2,2004,40044,122335052,2374573003,2252237951,0,3560995,0,2371012008,0,697246059
2000182,202005,2,2004,40058,4205522,1777010424,1772804902,0,5059493,0,1771950931,0,561036068
2000183,202005,2,2004,40062,66566715,293130661,226563946,0,0,0,293130661,0,41330176
2000184,202005,2,2004,40072,1093739789,8499502335,7405762546,0,93294447,43482193,8362725695,0,782260251
2000185,202005,2,2004,40112,0,517636638,517636638,0,0,0,517636638,0,356374717
2000186,202005,2,2004,40127,15698885,1292480751,1276781866,2602,0,0,1292478149,0,86730559
