CVE_CUENTA,CVE_PERIODO,CVE_ESTADO,CVE_MUNICIPIO,CVE_INSTITUCION,CUENTAS_NOMINA,CUENTAS_TOTALES,CUENTAS_MA,CUNETAS_NIVEL1,CUENTAS_NIVEL2,CUENTAS_NIVEL3,CUENTAS_NIVEL4,CUENTAS_AHORRO,CUENTAS_PLAZOFIJO,,,,,,,,
"1,000,001",202005,1,1001,40002,219678,329701,110023,0,193000,0,136701,1,3093,,,,110023,0,193000,0,136701
"1,000,002",202005,1,1001,40012,107909,198784,90875,0,38395,1,160388,0,281,,,,,,,,
"1,000,003",202005,1,1001,40014,56361,120681,64320,0,2738,5050,112893,2,5051,,,,,,,,
"1,000,004",202005,1,1001,40021,51217,82892,31675,0,0,0,82892,0,1683,,,,,,,,
"1,000,005",202005,1,1001,40030,19127,30847,11720,0,63,0,30784,0,2034,,,,,,,,
"1,000,006",202005,1,1001,40036,1331,9327,7996,0,71,0,9256,0,327,,,,,,,,
"1,000,007",202005,1,1001,40042,4,423,419,0,0,0,423,0,59,,,,,,,,
"1,000,008",202005,1,1001,40044,4543,15404,10861,0,810,0,14594,0,744,,,,,,,,
"1,000,009",202005,1,1001,40058,116,4833,4717,0,583,0,4250,0,1049,,,,,,,,
"1,000,010",202005,1,1001,40072,121098,161515,40417,0,27943,5095,128477,0,18216,,,,,,,,
"1,000,011",202005,1,1001,40112,0,1285,1285,0,0,0,1285,0,112,,,,,,,,
"1,000,012",202005,1,1001,40127,1977,48268,46291,0,0,0,48268,0,633,,,,,,,,
"1,000,013",202005,1,1001,40130,0,532,532,0,7,0,525,0,81,,,,,,,,
"1,000,014",202005,1,1001,40131,0,1474,1474,0,0,0,1474,0,411,,,,,,,,
"1,000,015",202005,1,1001,40132,343,1015,672,0,0,0,1015,0,136,,,,,,,,
"1,000,016",202005,1,1001,40136,0,1011,1011,0,0,0,1011,0,37,,,,,,,,
"1,000,017",202005,1,1001,40137,939,28834,27895,0,0,0,28834,0,30,,,,,,,,
"1,000,018",202005,1,1001,40143,0,671,671,0,0,0,671,0,452,,,,,,,,
"1,000,019",202005,1,1001,40145,0,540,540,0,0,0,540,0,133,,,,,,,,
"1,000,020",202005,1,1001,40150,0,9,9,0,0,0,9,0,11,,,,,,,,
"1,000,021",202005,1,1002,40002,0,1322,1322,0,1322,0,0,0,0,,,,,,,,
"1,000,022",202005,1,1003,40002,0,1605,1605,0,1605,0,0,0,9,,,,,,,,
"1,000,023",202005,1,1003,40012,1398,5893,4495,0,627,0,5266,0,7,,,,,,,,
"1,000,024",202005,1,1003,40072,1503,6413,4910,0,206,35,6172,0,2036,,,,,,,,
"1,000,025",202005,1,1003,40127,144,2283,2139,0,0,0,2283,0,3,,,,,,,,
"1,000,026",202005,1,1003,40137,64,3399,3335,0,0,0,3399,0,0,,,,,,,,
"1,000,027",202005,1,1004,40002,0,326,326,0,326,0,0,0,0,,,,,,,,
"1,000,028",202005,1,1005,40002,3419,11708,8289,0,5995,0,5713,0,257,,,,,,,,
"1,000,029",202005,1,1005,40127,107,3039,2932,0,0,0,3039,0,51,,,,,,,,
"1,000,030",202005,1,1005,40137,48,3149,3101,0,0,0,3149,0,2,,,,,,,,
"1,000,031",202005,1,1005,40150,0,3,3,0,0,0,3,0,2,,,,,,,,
"1,000,032",202005,1,1006,40002,0,1118,1118,0,1118,0,0,0,0,,,,,,,,
"1,000,033",202005,1,1006,40012,2941,6665,3724,0,804,0,5861,0,11,,,,,,,,
"1,000,034",202005,1,1006,40072,2933,6428,3495,0,683,126,5619,0,744,,,,,,,,
"1,000,035",202005,1,1006,40127,19,1529,1510,0,0,0,1529,0,33,,,,,,,,
"1,000,036",202005,1,1006,40137,17,2097,2080,0,0,0,2097,0,0,,,,,,,,
"1,000,037",202005,1,1007,40002,0,1184,1184,0,1184,0,0,0,0,,,,,,,,
"1,000,038",202005,1,1007,40012,2132,4988,2856,0,495,1,4492,0,4,,,,,,,,
"1,000,039",202005,1,1007,40072,2727,6474,3747,0,477,85,5912,0,1423,,,,,,,,
"1,000,040",202005,1,1007,40127,57,5992,5935,1,0,0,5991,0,132,,,,,,,,
"1,000,041",202005,1,1007,40137,71,5057,4986,0,0,0,5057,0,10,,,,,,,,
"1,000,042",202005,1,1008,40002,0,175,175,0,175,0,0,0,0,,,,,,,,
"1,000,043",202005,1,1009,40002,2068,4127,2059,0,460,0,3667,0,147,,,,,,,,
"1,000,044",202005,1,1010,40002,0,420,420,0,420,0,0,0,0,,,,,,,,
"1,000,045",202005,1,1011,40002,0,2195,2195,0,2195,0,0,0,0,,,,,,,,
"1,000,046",202005,1,1011,40127,47,2389,2342,0,0,0,2389,0,15,,,,,,,,
"1,000,047",202005,2,2001,40002,44270,142501,98231,0,52512,0,89989,2,2032,,,,,,,,
"1,000,048",202005,2,2001,40012,51952,89076,37124,1,16491,0,72584,0,66,,,,,,,,
"1,000,049",202005,2,2001,40014,17076,42642,25566,0,212,142,42288,3,2121,,,,,,,,
"1,000,050",202005,2,2001,40021,26357,48151,21794,0,0,0,48151,0,1176,,,,,,,,
"1,000,051",202005,2,2001,40030,2487,4928,2441,0,0,0,4928,0,58,,,,,,,,
"1,000,052",202005,2,2001,40036,138,2449,2311,0,24,0,2425,0,40,,,,,,,,
"1,000,053",202005,2,2001,40044,4075,8942,4867,0,15,0,8927,0,305,,,,,,,,
"1,000,054",202005,2,2001,40058,359,3104,2745,0,952,0,2152,0,228,,,,,,,,
"1,000,055",202005,2,2001,40062,497,943,446,0,0,0,943,0,8,,,,,,,,
"1,000,056",202005,2,2001,40072,5027,11884,6857,0,1502,247,10135,0,860,,,,,,,,
"1,000,057",202005,2,2001,40112,0,363,363,0,0,0,363,0,13,,,,,,,,
"1,000,058",202005,2,2001,40127,681,22026,21345,2,0,0,22024,0,204,,,,,,,,
"1,000,059",202005,2,2001,40130,0,2254,2254,0,71,0,2183,0,108,,,,,,,,
"1,000,060",202005,2,2001,40131,0,1589,1589,0,0,0,1589,0,173,,,,,,,,
"1,000,061",202005,2,2001,40136,0,721,721,0,0,0,721,0,24,,,,,,,,
"1,000,062",202005,2,2001,40137,599,39617,39018,0,0,0,39617,0,678,,,,,,,,
"1,000,063",202005,2,2001,40143,0,325,325,0,0,0,325,0,66,,,,,,,,
