CVE_INSTITUCION,BANCO
40138,ABC Capital
40102,Accendo Banco
40133,Actinver
40062,Afirme
40103,American Express
40128,Autofin
40002,Banamex
40042,Banca Mifel
40131,Banco Ahorro Famsa
40127,Banco Azteca
40145,Banco Base
40030,Banco del Bajío
40160,Banco S3
40137,BanCoppel
40152,Bancrea
40106,Bank of America
40159,Bank of China
40147,Bankaool
40072,Banorte
40058,Banregio
40060,Bansí
40129,Barclays
40012,BBVA Bancomer
40139,BIAfirme
40143,CIBanco
40130,Compartamos
40140,Consubanco
40126,Credit Suisse
40124,Deutsche Bank
40151,Dondé Banco
40154,Finterra
40149,Forjadores
40021,HSBC
40155,ICBC
40036,Inbursa
40150,Inmobiliario Mexicano
40136,Intercam Banco
40059,Invex
40110,J.P. Morgan
40162,KEB Hana Bank
40158,Mizuho Bank
40112,Monex
40108,MUFG Bank
40132,Multiva
40148,Pagatodo
40156,Sabadell
40014,Santander
40044,Scotiabank
40157,Shinhan
40113,Ve por Más
40141,Volkswagen Bank
