CVE_MUNICIPIO,MUNICIPIO,CVE_ESTADO
1001,Aguascalientes,1
1002,Asientos,1
1003,Calvillo,1
1004,Cosio,1
1005,Jesus Maria (Aguascalientes),1
1006,Pabellon De Arteaga,1
1007,Rincon De Romos,1
1008,San Jose De Gracia,1
1009,Tepezala,1
1010,El Llano,1
1011,San Francisco De Los Romo,1
2001,Ensenada,2
2002,Mexicali,2
2003,Tecate,2
2004,Tijuana,2
2005,Playas De Rosarito,2
3001,Comondu,3
3002,Mulege,3
3003,La Paz,3
3008,Los Cabos,3
3009,Loreto (Baja California Sur),3
4001,Calkini,4
4002,Campeche,4
4003,Ciudad Del Carmen,4
4004,Champoton,4
4005,Hecelchakan,4
4006,Hopelchen,4
4007,Palizada,4
4008,Tenabo,4
4009,Escarcega,4
4010,Calakmul,4
4011,Candelaria,4
5001,Abasolo (Coahuila),5
5002,Acuña,5
5003,Allende (Coahuila),5
5004,Arteaga,5
5005,Candela,5
5006,Castaños,5
5007,Cuatro Cienegas,5
5008,Escobedo,5
5009,Francisco I. Madero (Coahuila),5
5010,Frontera,5
5011,General Cepeda,5
5012,Guerrero (Coahuila),5
5013,Hidalgo (Coahuila),5
5014,Jimenez (Coahuila),5
5015,Juarez (Coahuila),5
5016,Lamadrid,5
5017,Matamoros (Coahuila),5
5018,Monclova,5
5019,Morelos (Coahuila),5
5020,Muzquiz,5
5021,Nadadores,5
5022,Nava,5
5023,Ocampo (Coahuila),5
5024,Parras,5
5025,Piedras Negras,5
5026,Progreso (Coahuila),5
5027,Ramos Arizpe,5
5028,Sabinas,5
5029,Sacramento,5
5030,Saltillo,5
5031,San Buenaventura,5
5032,San Juan De Sabinas,5
5033,San Pedro,5
5034,Sierra Mojada,5
5035,Torreon,5
5036,Viesca,5
5037,Villa Union,5
5038,Zaragoza (Coahuila),5
6001,Armeria,6
6002,Colima,6
6003,Comala,6
6004,Coquimatlan,6
6005,Cuauhtemoc (Colima),6
6006,Ixtlahuacan,6
6007,Manzanillo,6
6008,Minatitlan (Colima),6
6009,Tecoman,6
6010,Villa De Alvarez,6
7001,Acacoyagua,7
7002,Acala,7
7003,Acapetahua,7
7004,Altamirano,7
7005,Amatan,7
7006,Amatenango De La Frontera,7
7007,Amatenango Del Valle,7
7008,Angel Albino Corzo,7
7009,Arriaga,7
7010,Bejucal De Ocampo,7
7011,Bella Vista,7
7012,Berriozabal,7
7013,Bochil,7
7014,El Bosque,7
7015,Cacahoatan,7
7016,Catazaja,7
7017,Cintalapa,7
7018,Coapilla,7
7019,Comitan De Dominguez,7
7020,La Concordia,7
7021,Copainala,7
7022,Chalchihuitan,7
7023,Chamula,7
7024,Chanal,7
7025,Chapultenango,7
7026,Chenalho,7
7027,Chiapa De Corzo,7
7028,Chiapilla,7
7029,Chicoasen,7
7030,Chicomuselo,7
7031,Chilon,7
7032,Escuintla,7
7033,Francisco Leon,7
7034,Frontera Comalapa,7
7035,Frontera Hidalgo,7
7036,La Grandeza,7
7037,Huehuetan,7
7038,Huixtan,7
7039,Huitiupan,7
7040,Huixtla,7
7041,La Independencia,7
7042,Ixhuatan,7
7043,Ixtacomitan,7
7044,Ixtapa,7
7045,Ixtapangajoya,7
7046,Jiquipilas,7
7047,Jitotol,7
7048,Juarez (Chiapas),7
7049,Larrainzar,7
7050,La Libertad,7
7051,Mapastepec,7
7052,Las Margaritas,7
7053,Mazapa De Madero,7
7054,Mazatan (Chiapas),7
7055,Metapa,7
7056,Mitontic,7
7057,Motozintla,7
7058,Nicolas Ruiz,7
7059,Ocosingo,7
7060,Ocotepec (Chiapas),7
7061,Ocozocoautla De Espinosa,7
7062,Ostuacan,7
7063,Osumacinta,7
7064,Oxchuc,7
7065,Palenque,7
7066,Pantelho,7
7067,Pantepec (Chiapas),7
7068,Pichucalco,7
7069,Pijijiapan,7
7070,El Porvenir,7
7071,Villa Comaltitlan,7
7072,Pueblo Nuevo Solistahuacan,7
7073,Rayon (Chiapas),7
7074,Reforma,7
7075,Las Rosas,7
7076,Sabanilla,7
7077,Salto De Agua,7
7078,San Cristobal De Las Casas,7
7079,San Fernando (Chiapas),7
